SKU,ISBN,Format,Author,Publisher,PublicationDate,Title,Pages,Edition,DimsHeight,DimsWidth,DimsLength,DimsWeight,Language,ItemDescription,Binding,Condition,Price,Quantity,ImageUrl,category,subcategory
642656,9781853261862,Paperback,"Rex Collings","Wordsworth Editions Ltd",3/4/1996 12:00:00 AM,"Classic Victorian and Edwardian Ghost Stories (642656)",304,,12,124,195,204,,"A selection of ghost stories.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_449603_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Horror & Ghost Stories"
714073,9780436204890,Hardcover,"J. M. Coetzee","Vintage Publishing",7/1/1999 12:00:00 AM,"Disgrace (714073)",224,,22,137,218,374,,"A divorced middle-aged English professor finds himself increasingly unable to resist affairs with his female students. When discovered by the college authorities he is expected to apologize to save his job but instead he refuses and resigns retiring to live with his daughter on her remote farm.",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_280612_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
714099,9781905294633,Paperback,"Emma Clayton","Chicken House Ltd",7/7/2008 12:00:00 AM,"Roar (714099)",464,,32,124,196,399,,"Twelve-year old twins Mika and Ellie live in a future behind a wall - safe from the plague animals beyond. But when one of them disappears and the other takes part in a sinister virtual reality game they begin to discover their concrete world is built on lies. Determined to find each other again they go in search of the truth.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_167914_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
714119,9780721413099,Paperback,"John Grant","Penguin Random House Children's UK",12/6/1990 12:00:00 AM,"Will and the Gold Chase (714119)",32,,8,114,170,82,,"When Camilla loses her beautiful gold pendant she is so upset that her uncle Governor Broadside offers a reward.",Paperback,Used; Good,3.49,1,,"Children's Books","Children's / Teenage Fiction & True Stories"
714120,9781407215105,Paperback,"Rebecca Shaw","Bloomsbury",1/1/2000 12:00:00 AM,"Whispers in the Village (714120)",,,26,114,170,200,,,Paperback,Used; Good,3.49,1,,"General",""
714288,9780141045900,Paperback,"Clive Cussler","Penguin Books Ltd",3/3/2011 12:00:00 AM,"The Silent Sea (714288)",416,,29,137,194,287,,"December 1941. Four brothers investigate the secrets of a treasure pit on a small island in the Pacific. But a sudden death and the coming war allow its secrets to lie forgotten... Present day. Juan Cabrillo and the Oregon team have been sent to locate the remains of a crashed NASA satellite in the Argentine jungle.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_51742_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Thriller / Suspense"
712654,9780263887969,Paperback,"Juliet Landon","HarperCollins Publishers",8/5/2011 12:00:00 AM,"Slave Princess (712654)",384,,22,106,166,155,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_245469_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Romance"
712661,9780340278642,Paperback,"Claude Voilier","Hodder & Stoughton General Division",9/1/1984 12:00:00 AM,"The Famous Five Versus the Black Mask (712661)",144,,10,109,170,80,,,Paperback,Used; Good,3.49,2,,"Children's Books","Picture Books Activity Books & Early Learning Material"
712804,9780722164075,Paperback,"Larry Niven Jerry Pournelle Steven Barnes","Macdonald & Co",4/7/1988 12:00:00 AM,"The Legacy of Heorot (712804)",416,,30,109,175,227,,,Paperback,Used; Good,3.49,1,,"Fiction","Science Fiction"
712805,9780198610526,Paperback,"John Ayto","Oxford University Press",2/24/2005 12:00:00 AM,"The Oxford Dictionary of Modern Slang (712805)",336,,26,124,196,256,,"From ambulance chaser to soot suit this is an up-to-date dictionary of 20th-century slang. It is a comprehensive and entertaining collection of over 5000 slang words and phrases providing full details of origins and dates of first printed use.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_130213_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Foreign Language Study & Reference:Linguistics"
712815,9780297796268,Hardcover,"Caroline Seebohm","Orion Publishing Co",8/24/1989 12:00:00 AM,"Country House (712815)",204,,24,158,236,530,,,Hardcover,Used; Good,3.49,1,,"Non-fiction","Humanities:History"
712847,9780718143848,Hardcover,"James Herriot","Penguin Books Ltd",10/29/1998 12:00:00 AM,"James Herriot's Yorkshire Stories (712847)",160,,20,150,168,1,,,Hardcover,Used; Good,3.49,1,,"General",""
713211,9780684866741,Hardcover,"Will Cohu","Simon & Schuster Ltd",10/16/2000 12:00:00 AM,"Urban Dog (713211)",256,,26,140,218,408,,"The author shares with the reader a charming amusing account of life with his independent demanding and lovable Scottish terrier Parker. Parker has previously been the focus of a diary column in the ""Daily Telegraph"".",Hardcover,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_205520_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Natural History"
713547,9780330268271,Paperback,"Harold S. Kushner","Pan Macmillan",5/5/2000 12:00:00 AM,"When Bad Things Happen to Good People (713547)",192,,15,111,172,100,,"Why do bad things happen to good people? Rabbi Kushner has sensible and unorthodox and mind-opening things to say about God and about ourselves.",Paperback,Used; Good,3.49,4,http://choicetextileimages.blob.core.windows.net/img-1/stand_271912_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Humanities:Religion & Beliefs"
713570,9780670889655,Hardcover,"Rob Grant","Penguin Books Ltd",11/2/2000 12:00:00 AM,"Colony (713570)",304,,30,162,236,606,,"A new comedy from the creator of ""Red Dwarf"". Set on a colony ship from Earth in the 21st century characters include a doctor who exists as a pickled mind in a pickle jar as the result of an accident.",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_315945_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Science Fiction"
713597,9780600568704,Hardcover,"Sue Cutts","Octopus Publishing Group",7/6/1990 12:00:00 AM,"1000 Favourite Family Recipes (713597)",352,,32,152,210,79,,,Hardcover,Used; Good,3.49,1,,"Non-fiction","Sports Hobbies & Games:Cookery / Food & Drink etc"
713617,9781852425593,Paperback,"CLR James","Profile Books Ltd",8/1/1996 12:00:00 AM,"Beyond A Boundary (713617)",280,,22,136,210,259,,"First published in the 1960s this work uses the author's love of cricket to explore the not always ""sporting"" relationship between Empire and the West Indies.",Paperback,Used; Good,5.41,1,,"Non-fiction","Sports Hobbies & Games:Sports & Outdoor Recreation"
713710,9780330344586,Paperback,"Mary Karr","Pan Macmillan",11/8/1996 12:00:00 AM,"The Liars Club (713710)",336,,24,124,196,225,,"Mary Karr a prize-winning poet and critic grew up in a East Texas refinery town in a volatile defiantly loving family. This memoir looks back at a painter mother 7 times married whose outlaw spirit could tip over in psychosis; a fist-swinging father who spun tales with his cronies at the Liars' Club; and neighbourhood rape when she is 8.",Paperback,Used; Good,4.24,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_278460_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Biography:Biography: General"
713727,9781857231915,Paperback,"Tom Holt","Little Brown Book Group",5/19/1994 12:00:00 AM,"Grailblazers (713727)",368,,24,106,176,180,,"Fifteen hundred years have passed and the Holy Grail is still missing presumed ineffable. The knights have dumped the quest and now deliver pizzas while the sinister financial services of the lost kingdom of Atlantis threatens the universe with fiscal Armageddon.",Paperback,Used; Good,4.18,3,http://choicetextileimages.blob.core.windows.net/img-1/stand_80495_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Fantasy"
713755,9780281038541,Paperback,"Martin Israel","SPCK Publishing",9/30/1982 12:00:00 AM,"Living Alone (713755)",144,,12,130,214,200,,,Paperback,Used; Good,3.49,1,,"Non-fiction","Humanities:Religion & Beliefs"
713854,9780099938002,Paperback,"W. E. Johns","Penguin Random House Children's UK",7/16/1992 12:00:00 AM,"Biggles and Co (713854)",192,,15,110,177,106,,"Run this gang of crooks to earth or point out to me the man that is at the head of it - or the chief operator in this country - and I'll make you a present of a cheque for ten thousand pounds.'Colonel Raymond from Intelligence persuades Biggles Algy and Ginger to take on the challenge of transporting gold bullion and diamonds to France.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_854719_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
714776,9780006552482,Paperback,"Maria McCann","HarperCollins Publishers",3/4/2002 12:00:00 AM,"As Meat Loves Salt (714776)",544,,36,128,192,374,,"A sensational tale of obsession and murder from a wonderful writer. 'An outstanding novel fresh and unusual [with] all the dirt stink rasp and flavour of the time.' Daily Telegraph",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_224171_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Historical Fiction"
714799,9781844881277,Paperback,"Ross O'Carroll-Kelly","Penguin Books Ltd",6/4/2009 12:00:00 AM,"Mr S and the Secrets of Andorra's Box (714799)",352,,27,38,191,236,,"Ross O'Carroll-Kelly is broke and out of love. His wife has gone to America taking his daughter with him; his mother has become a celebrity chef on daytime television with a particular skill for handling phallic ingredients; and his father continues to languish in Mountjoy Jail.",Paperback,Used; Good,3.65,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_432239_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
714896,9780752884912,Paperback,"Kate Mosse","Orion Publishing Co",10/31/2007 12:00:00 AM,"Sepulchre (714896)",560,,44,152,234,815,,"A gripping tale of mystery and adventure from the author of LABYRINTH",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_63820_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
715000,9780419229407,Paperback,"George Torkildsen","Taylor & Francis Ltd",6/24/1999 12:00:00 AM,"Leisure and Recreation Management (715000)",592,,44,174,246,1021,,"In the years since it was first published in 1983 Leisure and Recreation Management has confirmed its place as the leading textbook in the field. The 4th edition has been completely revised and updated.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_32253_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Sports & Outdoor Recreation"
715026,9780140080216,Paperback,"Jane Brown","Penguin Books Ltd",10/31/1985 12:00:00 AM,"Gardens of a Golden Afternoon (715026)",208,,15,187,243,731,,,Paperback,Used; Good,3.49,1,,"Non-fiction","Arts & Photography:Architecture"
715083,9781849411493,Paperback,"Steve Cole","Penguin Random House Children's UK",1/28/2010 12:00:00 AM,"Astrosaurs 1: Riddle Of The Raptors (715083)",144,,12,128,196,109,,"<p>  Meet Captain Teggs Stegosaur and the crew of the amazing spaceship DSS <i>  Sauropod</i>   as the <b>  ASTROSAURS </b>  fight evil across the galaxy! With the Great Dinosaur Games about to start Teggs and his friends must race to the rescue. But there's more to the raptors' plot than meets the eye . .</p>  ",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_439435_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
715281,9780747584490,Paperback,"Angie Sage","Bloomsbury Publishing PLC",4/2/2007 12:00:00 AM,"Flyte (715281)",544,,40,128,174,522,,"The evil necromancer DomDaniel has been disposed of but something Darke is stirring. A Shadow pursues ExtraOrdinary Wizard Marcia Overstrand around. Septimus senses something sinister is afoot but before he can act Jenna is snatched - taken by a kidnapper. Septimus must rescue his sister but does not at first realise what he will be facing.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_331931_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
715369,9780141325132,Paperback,"Amanda Li","Penguin Random House Children's UK",8/7/2008 12:00:00 AM,"Jeremy Strong's Laugh-Your-Socks-Off Joke Book (715369)",128,,15,128,198,92,,"Contains jokes quizzes puzzles and games plus extracts from various stories.",Paperback,Used; Good,3.49,4,http://choicetextileimages.blob.core.windows.net/img-1/stand_159195_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage: General Non-Fiction"
715511,9780593055656,Unknown Binding,,"Bantam Press",1/1/2005 12:00:00 AM,"Narrow Dog To Carcassonne (715511)",,,34,142,214,545,,,Unknown Binding,Used; Good,3.49,1,,"General",""
715545,9780330483216,Paperback,"Alan Hollinghurst","Pan Macmillan",4/1/2005 12:00:00 AM,"The Line of Beauty (715545)",300,,34,122,200,334,,"Winner of the Man Booker Prize 2004 <i>  The Line of Beauty</i>   is a perfectly realized tale of our times.",Paperback,Used; Good,3.49,4,http://choicetextileimages.blob.core.windows.net/img-1/stand_82112_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
715562,9780140219852,Paperback,"Wilfred Hodges","Penguin Books Ltd",6/30/1977 12:00:00 AM,"Logic (715562)",336,,22,128,194,242,,,Paperback,Used; Good,3.49,1,,"Non-fiction","Humanities:Philosophy"
715584,9780722536513,Paperback,"Marlo Morgan","HarperCollins Publishers",6/15/1998 12:00:00 AM,"Message from Forever (715584)",336,,20,130,196,280,,"An aboriginal worldview through the story of twins who grow up apart. A boy is adopted by an American family and raised in the US and his sister is sent to an orphanage in Australia. Many years later they meet but neither is aware of their true relationship to each other.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_68370_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
715596,9780571251711,Paperback,"Alex Preston","Faber & Faber",1/6/2011 12:00:00 AM,"This Bleeding City (715596)",352,,25,126,197,282,,"But as the choices begin to tear him apart there's also the danger that all the things he desires are on the brink of crashing around him ...This debut novel written by a 30-year-old trader does not merely pick over the carcass of the financial markets in the wake of the recent crash.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_58060_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
715686,9780141322018,Paperback,"Sue Bentley","Penguin Random House Children's UK",9/6/2007 12:00:00 AM,"Magic Kitten: A Puzzle of Paws (715686)",128,,10,128,194,98,,"Rosie is devastated when her mum and dad tell her that when they move to their new smaller house that there won't be any room for her new pets. She's going to have to re-house them all! Then Rosie discovers cuddly black kitten Flame and suddenly Moving Day doesn't seem so bad. This book is the twelfth adventure in the series.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_91538_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
714001,9780297841227,Hardcover,"Roman Frister","Orion Publishing Co",10/28/1999 12:00:00 AM,"The Cap (714001)",385,,40,148,222,616,,"Frister was born into a wealthy educated Jewish Polish family. His future was assured until war broke out in 1939.  The seminal experience of life in a death camp serves as a fulcrum upon which his whole life is balanced and in this poignant book he shows how it has coloured both directly and indirectly his entire existence.",Hardcover,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_135293_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Humanities:History"
714103,9781841934433,Hardcover,"Tara Ward","Arcturus Publishing Ltd",7/26/2008 12:00:00 AM,"Healing Handbook (714103)",384,,24,178,230,581,,,Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_166975_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Health Family & Lifestyle:Mind Body Spirit"
714182,9780283071058,Hardcover,"Keith Floyd","Pan Macmillan",10/2/2009 12:00:00 AM,"Stirred But Not Shaken (714182)",352,,38,154,238,658,,"Britain's most colourful chef serves up a deliciously entertaining account of his sweet and sour (and crazy) life.",Hardcover,Used; Good,3.49,4,http://choicetextileimages.blob.core.windows.net/img-1/stand_240611_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Biography:Biography: General"
714422,9781860196560,Paperback,"Elisabeth McNeill","Caxton Publishing",4/1/2004 12:00:00 AM,"Mistress Green Tree Mill (714422)",,,32,106,176,225,,,Paperback,Used; Good,3.49,1,,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
714441,9780007306152,Paperback,"Paul Kilduff","HarperCollins Publishers",2/5/2009 12:00:00 AM,"Ruinair (714441)",368,,28,128,192,226,,"<p>  How to be treated like shite in 15 different countries...and still quite like it!</p>  ",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_210534_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Sports Hobbies & Games:Travel & Holiday"
714484,9780747257806,Paperback,"Peter Tremayne","Headline Publishing Group",8/13/1998 12:00:00 AM,"Valley of the Shadow (Sister Fidelma Mysteries Book 6) (714484)",352,,23,111,176,196,,"<b>  VALLEY OF THE SHADOW is the sixth unputdownable mystery in Peter Tremayne's atmospheric series featuring 7th-century Irish super-sleuth Sister Fidelma</b>  ",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_622109_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Crime & Mystery"
714500,9780720717556,Hardcover,"Diana Springall","Penguin Books Ltd",6/6/1988 12:00:00 AM,"Design for Embroidery (714500)",192,,22,218,282,1046,,,Hardcover,Used; Good,3.49,1,,"Non-fiction","Sports Hobbies & Games:Handicrafts Decorative Arts & Crafts"
714530,9781903973622,Paperback,"Chris Orr","Royal Academy of Arts",6/13/2005 12:00:00 AM,"Royal Academy Illustrated 2005 (714530)",192,,22,194,236,840,,,Paperback,Used; Good,8.31,1,,"Non-fiction","Arts & Photography:Art Treatments & Subjects"
714546,9780711023024,Hardcover,"Michael Heatley","Ian Allan Publishing",11/24/1994 12:00:00 AM,"Football Grounds Then and Now (714546)",160,,20,208,258,772,,"From the THEN AND NOW series a photographic exploration of the changes wrought on football league grounds in Britain. Includes historic illustrations of football grounds through the century plus present day shots.",Hardcover,Used; Good,4.17,1,,"Non-fiction","Sports Hobbies & Games:Sports & Outdoor Recreation"
714851,9780340752470,Paperback,"Rosamunde Pilcher","Hodder & Stoughton General Division",7/4/2005 12:00:00 AM,"Coming Home (714851)",1040,,50,132,196,592,,"The bestselling heartwarming tale of innocence and youth during the 1930s re-issued with a stunning new jacket look",Paperback,Used; Good,3.49,3,http://choicetextileimages.blob.core.windows.net/img-1/stand_818599_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
714902,9780778302353,Paperback,"Stephanie Laurens","Mira Books",5/16/2008 12:00:00 AM,"An Unwilling Conquest (714902)",384,,24,120,196,230,,"<p>  Immerse yourself in the glitter of Regency times and follow the lives and romantic escapades of Stephanie Laurens' Lester family.</p>  ",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_341875_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Romance"
714958,9781580088671,Paperback,"Richard Nelson Bolles","Random House USA Inc",9/15/2007 12:00:00 AM,"What Color is Your Parachute? 2008 (714958)",408,,30,152,226,616,,,Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_407050_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Health Family & Lifestyle:Self-Help & Personal Development"
715082,9780746090756,Paperback,"Sue Mongredien","Usborne Publishing Ltd",2/27/2009 12:00:00 AM,"Oliver Moon and Monstery Mystery (715082)",96,,10,130,190,116,,"When Oliver wins the school raffle he is less than impressed with his prize - an ugly painting entitled Monster Mystery. As soon as the Moons hang it on their kitchen wall food starts whizzing through the air crockery smashes itself on the floor and strange messages appear in Oliver's schoolbooks.",Paperback,Used; Good,3.49,3,http://choicetextileimages.blob.core.windows.net/img-1/stand_316761_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
715167,9781405203456,Hardcover,"Rev. Wilbert Vere Awdry","Egmont UK Ltd",10/4/2004 12:00:00 AM,"The Railway Series No. 15: The Twin Engines (715167)",72,,10,94,142,118,,"The original Railway Series books continue to delight Thomas fans of all ages.",Hardcover,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_383655_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Picture Books Activity Books & Early Learning Material"
713419,9780330521819,Paperback,"Samantha Hay","Pan Macmillan",10/1/2010 12:00:00 AM,"Bumble the Brave Kitten (713419)",192,,14,128,194,158,,"True stories about fantastic felines!",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_96843_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
713464,9780747565444,Paperback,"David Cordingly","Bloomsbury Publishing PLC",9/6/2004 12:00:00 AM,"Billy Ruffian (713464)",384,,30,130,196,300,,"Under fourteen captains the ship Bellerophon played a conspicuous part in three of the most famous sea battles: the battle of the Glorious First of June (1794); the battle of the Nile (1798); and the battle of Trafalgar (1805). This book presents the story of an eighteenth-century fighting ship - known to her crew as the Billy Ruffian.",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_234449_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Non-fiction","Humanities:History"
713509,9780002258463,Hardcover,"Reginald Hill","HarperCollins Publishers",4/2/2001 12:00:00 AM,"Dialogues of the Dead (713509)",464,,48,150,236,837,,"A man drowns and another dies in a motorbike crash. Yet the ""Mid-Yorkshire Gazette"" receive correspondence from someone claiming responsibility for the deaths. But when a third indisputable murder takes place Dalziel and Pascoe find themselves playing a game no-one knows the rules of.",Hardcover,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_828648_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Crime & Mystery"
713587,9781845062033,Paperback,"Nick Ward","Little Tiger Press Group",7/3/2006 12:00:00 AM,"The Biggest Baddest Wolf (713587)",32,,4,236,254,192,,"Harum Scarum was the biggest baddest hairiest scariest wolf in the city and he loved to frighten people! But after a really good day of frightening little children old people and even a builder Harum Scarum gets back home and finds he's lost his teddy.",Paperback,Used; Good,3.49,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_167167_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Picture Books Activity Books & Early Learning Material"
713610,9780340735923,Paperback,"Lucy Daniels","Hachette Children's Group",10/21/1999 12:00:00 AM,"Animal Ark Pets: Christmas Special: Cat's Cradle (713610)",128,,8,128,192,100,,"Mandy and James are taking part in their school nativity play which their teacher Miss Oswald is organising. Miss Oswald tells them she's found a little kitten in her garage. Though she loves animals she's so busy at work that she doesn't feel it would be fair to keep it. Can Mandy persuade her teacher to change her mind?",Paperback,Used; Good,3.49,1,http://choicetextileimages.blob.core.windows.net/img-1/stand_116233_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Children's Books","Children's / Teenage Fiction & True Stories"
713656,9781857029109,Paperback,"Martin Millar","HarperCollins Publishers",5/7/1998 12:00:00 AM,"The Collected Martin Millar (713656)",544,,35,130,198,440,,"Collected in one volume are three of Millar's novels ""The Good Fairies of New York"" ""Lux the Poet"" and ""Ruby and the Stoneage Diet"" each written with a sharp eye for the details and absurdities of 20th-century urban life.",Paperback,Used; Good,10.11,2,http://choicetextileimages.blob.core.windows.net/img-1/stand_45667_jpg.jpg?sv=2012-02-12&sr=c&si=policy&sig=UJGArnU2SSaCcGE3m8IeJaXsv77mtWiIDK%2F7XslOY0w%3D,"Fiction","Modern & Contemporary Fiction (Post C 1945)"
